index,image_id,filename,image_path,image_match,category,mean_human_complexity_rating,human_rating_count,human_rating_variance,human_rating_sd,text.no_text,text.axes_labels,text.axes_text,text.titles,text.annotations,text.captions,text.legend_text,text.legend_title,text.text_only,color.black_and_white,color.background_color,color.color_count,data.quantitative,data.categorical,design.chart_count,design.chart_types_count,design.multi_panel,design.area,design.bar,design.circle,design.diagram,design.distribution,design.grid_or_matrix,design.line,design.map,design.point,design.table,design.text,design.trees_or_networks
0,0.png,v487_n7408_11_f2.png,data/science/v487_n7408_11_f2.png,exact,S,75.6,10,321.59999999999997,17.933209417167916,0,1,1,0,1,0,0,0,0,0,0,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1.png,v488_n7412_16_f2.png,data/science/v488_n7412_16_f2.png,exact,S,71.8,10,1016.6222222222223,31.884513830733287,0,1,1,0,1,0,0,0,0,0,1,4,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,2.png,economist_daily_chart_293.png,data/news/economist_daily_chart_293.png,exact,N,47.3,10,616.4555555555555,24.82852302404546,0,0,1,1,1,1,0,0,0,0,1,2,2,3,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0
3,3.png,wsj463.png,data/news/wsj463.png,exact,N,27.1,10,487.2111111111111,22.07285915125431,0,0,0,1,1,1,0,0,1,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4.png,visMost451.png,data/vis1/visMost451.png,exact,I,44.9,10,613.2111111111111,24.763099788013438,0,0,1,1,0,0,0,0,0,0,0,13,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5.png,visMost337.png,data/vis1/visMost337.png,exact,I,68.8,10,419.06666666666666,20.471117865584837,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,6.png,v490_n7420_16_f3.png,data/science/v490_n7420_16_f3.png,exact,S,60.0,10,751.7777777777778,27.418566296905055,0,1,1,0,0,0,1,0,0,0,0,7,2,4,5,3,1,1,1,0,0,0,0,1,0,0,0,0,0
7,7.png,vis262.png,data/vis2/vis262.png,exact,I,67.5,10,526.9444444444445,22.95527051560152,0,0,0,1,1,1,0,0,0,0,1,5,1,1,17,2,1,0,1,0,0,1,0,0,0,0,0,0,0
8,8.png,whoH02_3.png,data/government/whoH02_3.png,exact,G,23.2,10,326.4,18.066543665017942,0,1,1,1,1,0,1,0,0,0,0,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
9,9.png,wsj305.png,data/news/wsj305.png,exact,N,30.1,10,1204.1000000000001,34.70014409191985,0,0,0,0,0,1,1,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
