image_id,response
0.png,71
0.png,88
0.png,82
0.png,69
0.png,79
0.png,100
0.png,62
0.png,82
0.png,88
0.png,35
1.png,81
1.png,96
1.png,93
1.png,91
1.png,57
1.png,83
1.png,81
1.png,0
1.png,36
1.png,100
2.png,65
2.png,41
2.png,46
2.png,35
2.png,100
2.png,68
2.png,50
2.png,21
2.png,25
2.png,22
3.png,32
3.png,25
3.png,3
3.png,6
3.png,12
3.png,61
3.png,7
3.png,66
3.png,33
3.png,26
4.png,42
4.png,47
4.png,23
4.png,66
4.png,20
4.png,33
4.png,100
4.png,60
4.png,34
4.png,24
5.png,42
5.png,75
5.png,29
5.png,67
5.png,70
5.png,65
5.png,75
5.png,100
5.png,86
5.png,79
6.png,76
6.png,33
6.png,73
6.png,87
6.png,37
6.png,15
6.png,100
6.png,74
6.png,38
6.png,67
7.png,74
7.png,67
7.png,41
7.png,100
7.png,75
7.png,81
7.png,54
7.png,100
7.png,49
7.png,34
8.png,10
8.png,44
8.png,0
8.png,9
8.png,32
8.png,19
8.png,58
8.png,27
8.png,7
8.png,26
9.png,59
9.png,15
9.png,100
9.png,0
9.png,35
9.png,0
9.png,6
9.png,12
9.png,5
9.png,69
10.png,88
10.png,60
10.png,58
10.png,98
10.png,59
10.png,68
10.png,100
10.png,93
10.png,92
10.png,68
11.png,0
11.png,0
11.png,20
11.png,0
11.png,19
11.png,11
11.png,36
11.png,23
11.png,37
11.png,0
12.png,66
12.png,61
12.png,91
12.png,85
12.png,45
12.png,73
12.png,75
12.png,100
12.png,38
12.png,67
13.png,0
13.png,91
13.png,3
13.png,39
13.png,63
13.png,40
13.png,59
13.png,100
13.png,59
13.png,19
14.png,100
14.png,94
14.png,84
14.png,100
14.png,93
14.png,88
14.png,87
14.png,69
14.png,100
14.png,87
15.png,38
15.png,100
15.png,68
15.png,28
15.png,5
15.png,90
15.png,75
15.png,88
15.png,50
15.png,33
16.png,64
16.png,88
16.png,75
16.png,70
16.png,100
16.png,75
16.png,85
16.png,57
16.png,75
16.png,85
17.png,33
17.png,70
17.png,37
17.png,69
17.png,37
17.png,32
17.png,60
17.png,75
17.png,100
17.png,60
18.png,39
18.png,42
18.png,66
18.png,100
18.png,55
18.png,14
18.png,100
18.png,24
18.png,84
18.png,86
19.png,35
19.png,75
19.png,20
19.png,13
19.png,6
19.png,100
19.png,5
19.png,28
19.png,22
19.png,17
20.png,41
20.png,12
20.png,44
20.png,29
20.png,48
20.png,9
20.png,2
20.png,62
20.png,16
20.png,44
21.png,67
21.png,0
21.png,37
21.png,68
21.png,88
21.png,34
21.png,37
21.png,85
21.png,100
21.png,33
22.png,3
22.png,34
22.png,40
22.png,43
22.png,56
22.png,20
22.png,88
22.png,42
22.png,42
22.png,100
23.png,89
23.png,84
23.png,74
23.png,87
23.png,100
23.png,65
23.png,55
23.png,23
23.png,100
23.png,95
24.png,25
24.png,42
24.png,45
24.png,15
24.png,24
24.png,33
24.png,50
24.png,71
24.png,100
24.png,42
25.png,26
25.png,86
25.png,79
25.png,76
25.png,100
25.png,54
25.png,97
25.png,82
25.png,94
25.png,100
26.png,100
26.png,45
26.png,75
26.png,36
26.png,42
26.png,30
26.png,18
26.png,3
26.png,25
26.png,34
27.png,0
27.png,15
27.png,32
27.png,60
27.png,7
27.png,14
27.png,28
27.png,17
27.png,24
27.png,7
28.png,37
28.png,100
28.png,66
28.png,36
28.png,89
28.png,100
